article_set_key,article_family_key,article_count,case_count,country_count,countries,mean_log_fine,std_log_fine,median_fine_eur,cross_border_eligible
5,5,1,43,8,DE;DK;EL;ES;GR;IE;IT;LV,9.907950546787925,2.3888514544706387,10490.89469517023,True
6,6,1,35,5,DE;ES;FR;GR;RO,10.046542722932546,1.729477550824356,45428.57142857143,True
5;32,32;5,2,31,12,CY;DK;ES;FI;FR;GR;HR;HU;IE;IS;IT;RO,10.796508321226975,2.015227208514064,53852.66723116004,True
5;6,5;6,2,28,13,BE;CY;DE;EE;ES;FI;GR;HU;IE;IS;IT;LV;SI,9.024046576936941,2.5271120959081195,5328.635942099109,True
32,32,1,20,7,DE;DK;ES;FR;HR;IT;RO,9.602471593579978,1.4819417323330548,21287.789724796014,True
NONE,NONE,0,20,6,EL;ES;FR;GR;IT;LV,10.507947477102073,3.5206409013418214,9270.224783455375,True
12;15,12-14;15,2,18,4,FI;HU;IT;RO,8.770193790392996,1.7289164608711316,8154.190325390811,True
5;13,12-14;5,2,13,4,ES;GR;HU;IT,8.799494411413734,1.3040633766226786,3365.7917019475026,True
5;9,5;9,2,11,2,DK;IT,10.169223322436162,1.209808692537721,21102.43467933492,True
13,12-14,1,8,2,ES;LV,8.313395150214237,1.1211684367955108,2776.190476190476,True
5;6;9,5;6;9,3,7,3,FI;IS;IT,9.859892308773421,1.0697819593231603,20981.78939034046,True
5;6;13,12-14;5;6,3,7,4,BE;HU;IS;IT,8.681269672628003,1.6283018454636662,7741.320914479255,True
21,21,1,5,1,ES,9.123171472967119,1.1567916233814384,7571.428571428572,False
5;9;32,32;5;9,3,5,1,IT,9.32285162820463,0.514332284225341,11219.305673158342,False
37,37,1,4,2,ES;IT,9.489094827172615,1.2553209441318425,18325.812605473624,True
32;33,32;33,2,4,4,DK;FR;IE;RO,9.343655923494708,1.36210752480717,9426.620902382969,True
58,58,1,4,2,ES;LV,9.133240120388336,1.4312571843549584,17795.64588266246,True
5;6;9;13,12-14;5;6;9,4,4,3,ES;HU;IT,10.36720206182816,1.7913796265593602,65556.28733843117,True
6;13,12-14;6,2,4,2,ES;HU,7.766339653367856,1.771440291016848,5890.0321698844355,True
5;12,12-14;5,2,3,2,ES;IT,9.442287092163237,0.8540079055837289,20981.78939034046,True
28;32,28;32,2,3,3,DE;GR;IT,12.501155775413883,3.6867310420470774,36602.20994475138,True
5;6;7;13,12-14;5;6;7,4,3,2,HR;IT,10.910312830086452,0.03223079278424345,53503.56294536817,True
5;25;32,25;32;5,3,3,2,IS;IT,9.879642059911056,1.1387343363906564,16828.958509737513,True
5;6;28,28;5;6,3,3,1,IT,10.090760680122544,0.23565932463265143,20416.024653312787,False
5;6;13;14,12-14;5;6,4,3,2,BE;IT,9.336928339213523,1.0638038827747156,5609.652836579171,True
5;6;12;13,12-14;5;6,4,3,2,BE;HU,10.171843122004981,0.3195186821326898,28721.42252328536,True
5;6;7;12;13,12-14;5;6;7,5,3,3,BE;HU;IT,11.484897386879162,1.3842198613609435,86164.26756985606,True
12,12-14,1,3,3,CY;GR;IT,8.534326709130692,0.6743565848314304,6309.523809523809,True
5;12;13,12-14;5,3,3,3,FR;GR;IT,10.257483568962556,2.616716338684099,11219.305673158342,True
5;9;25;32,25;32;5;9,4,3,1,IT,11.067798842846313,0.25179429347229826,76560.09244992294,False
15,15,1,2,2,BE;EL,9.278610113637148,2.2549129886677988,51601.02691693988,True
5;13;88,12-14;5;88,3,2,1,IT,11.06509014211532,0.24529185790503316,65832.04930662557,False
12;15;31,12-14;15;31,3,2,1,GR,7.646398369452404,0.38088352693176253,2245.7627118644064,False
38,38,1,2,2,BE;DE,12.169311295079574,1.1168948664695266,326054.3929680255,True
37;38,37;38,2,2,2,HR;IT,9.06679862414707,0.3465327776675071,9187.211093990754,True
2;5;6,2;5;6,3,2,1,IT,8.76784130819028,1.8494057563282293,20920.893408604912,False
5;13;28,12-14;28;5,3,2,1,IT,13.15662104186238,0.7068130853788199,652144.8888417165,False
5;24,24;5,2,2,2,CY;IE,12.987107621825299,3.776667254848782,9541409.82218459,True
5;25,25;5,2,2,1,FI,12.369270319019073,1.3113443216794112,468624.84286634484,False
5;33,33;5,2,2,2,GR;IT,11.169916378759112,0.11987803481878334,71472.68408551069,True
5;6;12;14,12-14;5;6,4,2,2,BE;HU,10.29204921274689,2.0527952337662114,116778.54723599859,True
5;6;12;17,12-14;17;5;6,4,2,2,BE;HU,9.415339654199132,0.15698134994113566,12425.802978406455,True
5;25;28;32;33;34,25;28;32;33;34;5,6,2,1,GR,9.43374239894144,0.20271622834280834,12760.01540832049,False
5;6;12,12-14;5;6,3,2,2,GR;IT,9.166732698368993,0.8518503414347958,13260.90813848962,True
5;6;12;13;32,12-14;32;5;6,5,2,2,FR;HU,14.795600732521322,2.533568374100245,16891186.51997653,True
5;32;33,32;33;5,3,2,2,GR;IE,11.855006080668932,0.46612194367804527,156359.7233982501,True
5;6;9;12,12-14;5;6;9,4,2,2,DE;HU,13.157734204927145,1.4146816305485617,1128771.5389500426,True
6;17,17;6,2,2,1,IT,9.278253296450611,0.04722712585197808,10713.658999907366,False
7,7,1,2,1,ES,7.564153721119955,1.1450048517578333,3334.8117983711204,False
7;13,12-14;7,2,2,1,ES,8.366211002382986,0.16065902657351305,4353.9200210470935,False
5;6;12;15;17,12-14;15;17;5;6,5,2,2,HU;IT,6.754934072672187,0.8670459194285294,1200.6226612370679,True
5;6;37,37;5;6,3,2,1,IT,10.089071050124339,1.3688052036447766,50383.83226942549,False
12;17,12-14;17,2,2,1,IT,9.638469125075094,0.3129887027725049,16100.5475317494,False
28,28,1,2,2,ES;IT,11.367274454180382,0.3445704449091158,91627.72022122148,True
5;15,15;5,2,2,2,DE;DK,9.405065696609881,0.5463921312377176,14007.967141726049,True
31,31,1,1,1,GR,10.714439990727769,0.0,45000.0,False
31;32,31;32,2,1,1,HR,12.676079399771027,0.0,320000.0,False
2;5;6;9;83,2;5;6;83;9,5,1,1,IT,7.649301565845994,0.0,2098.178939034046,False
28;32;34,28;32;34,3,1,1,FR,12.299627921247541,0.0,219613.25966850828,False
28;33,28;33,2,1,1,IT,13.612956072333903,0.0,816640.9861325114,False
36,36,1,1,1,DK,8.927282758150495,0.0,7533.763759525827,False
58;83,58;83,2,1,1,FI,13.042454788342718,0.0,461599.3665874901,False
5;123;132,123;132;5,3,1,1,IT,13.824990292484365,0.0,1009523.8095238096,False
5;12;13;15,12-14;15;5,4,1,1,IT,10.934847032889449,0.0,56096.52836579171,False
5;12;13;15;17,12-14;15;17;5,5,1,1,IT,8.987321812850125,0.0,8000.0,False
2;13;22,12-14;2;22,3,1,1,ES,9.102359151773072,0.0,8975.444538526674,False
28;29;32,28;29;32,3,1,1,FR,14.336027182509058,0.0,1682895.8509737512,False
25;33,25;33,2,1,1,IE,19.361551342155224,0.0,256221109.39907545,False
25;32;34,25;32;34,3,1,1,HU,11.18344274467003,0.0,71928.57142857142,False
17;21;25,17;21;25,3,1,1,GR,8.716268340436823,0.0,6100.36832412523,False
16;17;30;31,16;17;30;31,4,1,1,FR,8.205551975809472,0.0,3660.2209944751385,False
15;58,15;58,2,1,1,FI,9.139169098284704,0.0,9312.023708721425,False
15;31,15;31,2,1,1,FI,13.575752372524914,0.0,786817.1021377672,False
157,157,1,1,1,IT,8.314882356934197,0.0,4083.204930662557,False
15;22,15;22,2,1,1,DE,12.659463547061613,0.0,314726.8408551069,False
14;15,12-14;15,2,1,1,GR,8.121715552663925,0.0,3365.7917019475026,False
14;28,12-14;28,2,1,1,FR,13.098133113071066,0.0,488029.46593001846,False
13;32;33;37,12-14;32;33;37,4,1,1,GR,11.424165558687063,0.0,91505.52486187844,False
13;28;32,12-14;28;32,3,1,1,HR,14.6810083538112,0.0,2376187.648456057,False
13;46,12-14;46,2,1,1,IE,20.088387566397234,0.0,530000000.0,False
13;37,12-14;37,2,1,1,IT,8.720265846479563,0.0,6124.807395993836,False
13;28;30;35,12-14;28;30;35,4,1,1,DE,14.148217028770885,0.0,1394736.8421052631,False
13;25,12-14;25,2,1,1,HR,10.17459184749519,0.0,26227.23673792557,False
13;14;35,12-14;35,3,1,1,GR,11.938984945030965,0.0,153120.1848998459,False
13;15;21,12-14;15;21,3,1,1,IT,10.711707938089639,0.0,44877.22269263337,False
33;154,154;33,2,1,1,IT,13.537308550220882,0.0,757142.8571428572,False
31;37,31;37,2,1,1,FR,8.56530643082572,0.0,5245.447347585115,False
12;13;15;21;32,12-14;15;21;32,5,1,1,FR,13.41973734195473,0.0,673158.3403895005,False
12;13,12-14,2,1,1,DE,13.910603223740791,0.0,1099759.7605893186,False
12;14;15;21,12-14;15;21,4,1,1,FR,13.930562371507593,0.0,1121930.567315834,False
12;14;15,12-14;15,3,1,1,IT,10.018583039803788,0.0,22438.611346316684,False
