case_i_id,case_j_id,country_i,country_j,article_cohort,log_fine_i,log_fine_j,fine_eur_i,fine_eur_j,delta_log_fine,delta_fine_eur,distance,defendant_class_match,enterprise_size_match,year_diff
Greece_5,Italy_233,GR,IT,12,8.749973964692726,9.231026170598632,6309.523809523809,10208.012326656391,0.4810522059059057,3898.4885171325823,2.1213203434471426,True,True,4
Italy_233,Cyprus_23,IT,CY,12,9.231026170598632,7.621979992100716,10208.012326656391,2041.6024653312784,1.6090461784979162,8166.4098613251135,2.1213203431096423,True,False,0
Cyprus_23,Greece_5,CY,GR,12,7.621979992100716,8.749973964692726,2041.6024653312784,6309.523809523809,1.1279939725920105,4267.921344192531,2.9999999996022524,True,False,4
Romania_2,Italy_126,RO,IT,12;15,7.643023884970631,7.872349837275093,2085.0422406967537,2622.7236737925573,0.2293259523044613,537.6814330958036,0.7223151184624412,False,False,0
Hungary_5,Italy_68,HU,IT,12;15,6.579647958692552,8.409323367690709,719.2857142857142,4487.722269263337,1.829675408998157,3768.4365549776226,2.63091982573667,False,False,2
Hungary_14,Italy_110,HU,IT,12;15,3.6099521955242655,10.71170793808964,35.964285714285715,44877.22269263337,7.101755742565375,44841.258406919085,1.5491933383629664,True,True,2
Italy_64,Hungary_5,IT,HU,12;15,8.716268340436823,6.579647958692552,6100.36832412523,719.2857142857142,2.1366203817442715,5381.0826098395155,4.20041405796607,False,True,1
Italy_68,Romania_2,IT,RO,12;15,8.409323367690709,7.643023884970631,4487.722269263337,2085.0422406967537,0.7662994827200773,2402.680028566583,0.7745966691814833,True,True,1
Italy_96,Finland_79,IT,FI,12;15,10.018583039803788,7.4262771016232945,22438.611346316684,1678.5431512272366,2.592305938180494,20760.068195089447,1.149610178825344,True,False,1
Italy_110,Hungary_14,IT,HU,12;15,10.71170793808964,3.6099521955242655,44877.22269263337,35.964285714285715,7.101755742565375,44841.258406919085,1.5491933383629664,True,True,2
Finland_79,Italy_225,FI,IT,12;15,7.4262771016232945,8.537976937910123,1678.5431512272366,5104.006163328197,1.111699836286829,3425.46301210096,0.7745966691814832,True,True,1
Spain_424,Latvia_12,ES,LV,13,7.040666263882576,9.663791641304954,1141.1483253588517,15736.342042755345,2.6231253774223777,14595.193717396493,3.425395354132604,True,True,4
Latvia_12,Spain_581,LV,ES,13,9.663791641304954,9.258358304257996,15736.342042755345,10490.89469517023,0.40543333704695783,5245.4473475851155,2.2677868378839348,True,False,0
Greece_1,Belgium_158,EL,BE,15,7.02369712496935,11.533523102304947,1121.9305673158342,102080.12326656393,4.5098259773355975,100958.19269924809,2.828427124463347,True,False,2
Belgium_158,Greece_1,BE,EL,15,11.533523102304947,7.02369712496935,102080.12326656393,1121.9305673158342,4.5098259773355975,100958.19269924809,2.828427124463347,True,False,2
Spain_458,Italy_285,ES,IT,28,11.711844899089495,11.022704009271266,122007.3664825046,61248.07395993836,0.6891408898182299,60759.29252256624,2.8284271245576282,True,False,3
Italy_285,Spain_458,IT,ES,28,11.022704009271266,11.711844899089495,61248.07395993836,122007.3664825046,0.6891408898182299,60759.29252256624,2.8284271245576282,True,False,3
Greece_112,Italy_74,GR,IT,28;32,10.507891218952246,9.325480422302588,36602.20994475138,11219.305673158342,1.1824107966496573,25382.90427159304,1.224744871241589,True,True,1
Germany_8,Greece_112,DE,GR,28;32,17.670095684986816,10.507891218952246,47209026.12826604,36602.20994475138,7.16220446603457,47172423.91832128,3.240370348829854,True,False,2
Italy_74,Germany_8,IT,DE,28;32,9.325480422302588,17.670095684986816,11219.305673158342,47209026.12826604,8.344615262684227,47197806.82259288,2.449489742513322,True,False,1
Spain_486,Denmark_115,ES,DK,32,11.894165089855978,11.345828002742891,146408.83977900553,84610.71428571429,0.5483370871130866,61798.12549329124,1.0510609951979053,True,False,1
Spain_503,Romania_4,ES,RO,32,10.17459184749519,8.048227579063989,26227.23673792557,3127.245486935867,2.1263642684312014,23099.991250989704,0.902587364731582,True,False,0
Spain_506,Denmark_2,ES,DK,32,7.833920902748973,9.043349272342406,2523.809523809524,8461.071428571428,1.2094283695934323,5937.261904761904,3.258752679207428,False,True,0
Spain_551,Italy_293,ES,IT,32,8.205551975809472,9.231026170598632,3660.2209944751385,10208.012326656391,1.02547419478916,6547.791332181253,1.8507434540888932,True,False,3
Spain_577,Germany_29,ES,DE,32,11.310382000020352,6.956630648585314,81664.09861325115,1049.089469517023,4.353751351435038,80615.00914373412,2.0337696797583287,True,True,1
Romania_4,Croatia_38,RO,HR,32,8.048227579063989,10.86771996444934,3127.245486935867,52454.47347585115,2.8194923853853506,49327.22798891528,0.0,True,True,0
Romania_6,Spain_503,RO,ES,32,7.756602312042406,10.17459184749519,2335.950870942201,26227.23673792557,2.417989535452784,23891.28586698337,0.902587364731582,True,False,0
Romania_9,Denmark_145,RO,DK,32,7.641905796288675,8.927282758150495,2082.711163895487,7533.763759525827,1.2853769618618198,5451.052595630339,1.212438149905726,False,False,1
Germany_29,Spain_577,DE,ES,32,6.956630648585314,11.310382000020352,1049.089469517023,81664.09861325115,4.353751351435038,80615.00914373412,2.0337696797583287,True,True,1
Germany_41,Denmark_32,DE,DK,32,10.152471802209144,10.157459149791745,25653.436592449176,25781.703775411424,0.004987347582600776,128.26718296224863,0.0,True,True,0
France_69,Denmark_148,FR,DK,32,12.15101815135206,10.216781560070826,189285.7142857143,27357.47303543913,1.934236591281234,161928.24125027517,3.1092023225897423,False,False,4
Italy_293,Spain_486,IT,ES,32,9.231026170598632,11.894165089855978,10208.012326656391,146408.83977900553,2.663138919257346,136200.82745234913,1.8507434540888932,True,False,3
Denmark_2,Germany_41,DK,DE,32,9.043349272342406,10.152471802209144,8461.071428571428,25653.436592449176,1.1091225298667382,17192.36516387775,1.5297718984563509,False,False,2
Denmark_5,Romania_6,DK,RO,32,9.736437363969268,7.756602312042406,16922.142857142855,2335.950870942201,1.9798350519268615,14586.191986200654,1.9469279351258217,False,False,3
Denmark_32,Romania_9,DK,RO,32,10.157459149791745,7.641905796288675,25781.703775411424,2082.711163895487,2.515553353503069,23698.992611515936,2.6928853700692006,True,True,5
Denmark_115,Spain_551,DK,ES,32,11.345828002742891,8.205551975809472,84610.71428571429,3660.2209944751385,3.140276026933419,80950.49329123915,2.7608043797797817,True,False,1
Denmark_142,Spain_506,DK,ES,32,10.398079524012406,7.833920902748973,32795.58011049724,2523.809523809524,2.5641586212634326,30271.77058668772,3.3029584146481317,False,True,1
Denmark_145,France_69,DK,FR,32,8.927282758150495,12.15101815135206,7533.763759525827,189285.7142857143,3.223735393201565,181751.95052618848,4.210085206253038,False,False,2
Croatia_38,Denmark_142,HR,DK,32,10.86771996444934,10.398079524012406,52454.47347585115,32795.58011049724,0.4696404404369332,19658.893365353906,1.5297718984563509,False,False,2
Romania_3,Denmark_139,RO,DK,32;33,8.05712988380164,9.620363577427398,3155.218408551069,15067.527519051651,1.563233693625758,11912.309110500582,2.523959264526311,False,False,1
