country_code,region,n_cases,fine_mean_eur,fine_median_eur,fine_sd_eur,fine_min_eur,fine_max_eur,log_fine_mean,log_fine_sd,art83_agg_mean,art83_mit_mean,art83_discussed_mean,pct_private,pct_public,pct_sme,pct_large,year_min,year_max
DE,DACH,20,6409074.914512825,451870.19434795994,14143115.919019984,1049.089469517023,47209026.12826604,12.703888067174633,3.1513983356061206,2.25,2.5,4.8,95.0,0.0,5.0,50.0,2018,2023
DK,Nordics,15,144317.75167859707,25781.703775411424,380325.19071875094,7034.144893111639,1506752.7519051654,10.452222495628428,1.495268113987079,2.8,1.0666666666666667,3.8666666666666667,53.333333333333336,46.666666666666664,0.0,13.333333333333334,2018,2024
FI,Nordics,13,277758.81584271963,63443.8305709024,391647.5201192304,1678.5431512272366,1100000.0,11.023915423817755,2.128221709004595,4.615384615384615,1.3076923076923077,7.846153846153846,76.92307692307693,23.076923076923077,46.15384615384615,15.384615384615385,2019,2025
BE,Benelux,28,23990.598559191854,11219.305673158342,28575.727761287962,1220.073664825046,102080.12326656393,9.334986829512378,1.3329045587075172,2.9642857142857144,1.5714285714285714,5.071428571428571,67.85714285714286,14.285714285714285,14.285714285714285,28.57142857142857,2019,2024
IE,British-Irish,10,80633061.98434485,126567.84005468216,176979746.13502225,23604.51306413301,530000000.0,13.634584040539409,3.703307873375297,1.9,0.9,2.9,50.0,40.0,0.0,50.0,2019,2025
IT,Southern,167,240544.3258026114,20416.024653312787,1305993.6629429576,408.3204930662557,15312018.489984589,9.97156597727618,1.8486514694167033,2.6347305389221556,3.586826347305389,6.652694610778443,58.08383233532935,32.33532934131736,17.964071856287426,17.365269461077844,2019,2025
ES,Southern,112,123138.3640782033,9927.913706919233,920448.7389773894,489.9845916795068,9760589.31860037,9.515135691309197,1.6754623843608845,2.6607142857142856,0.7678571428571429,3.5892857142857144,80.35714285714286,1.7857142857142856,13.392857142857142,31.25,2019,2024
GR,Southern,47,253486.8515659879,10208.012326656391,1143098.2198129534,1000.0,7320441.988950277,9.634240291909977,1.8941909121531189,2.276595744680851,1.5957446808510638,4.191489361702128,57.446808510638306,27.659574468085108,17.02127659574468,27.659574468085108,2020,2025
FR,Southern,38,10373201.041923832,497603.24971142074,24140713.07062907,3660.2209944751385,109806629.83425416,13.39432181924442,2.588648500502886,3.1842105263157894,1.6842105263157894,5.184210526315789,86.8421052631579,10.526315789473683,28.947368421052634,57.89473684210527,2019,2025
CY,Southern,7,13104.642630762271,7343.626286619161,16136.098028203893,2041.6024653312784,47209.02612826604,8.91812521472011,1.123368630286349,3.0,2.7142857142857144,6.285714285714286,57.14285714285714,28.57142857142857,14.285714285714285,14.285714285714285,2020,2025
EL,Southern,3,15216.757425872367,18301.10497237569,12833.705595841353,1121.9305673158342,26227.23673792557,9.004353443497322,1.724707884035379,0.6666666666666666,0.0,0.6666666666666666,66.66666666666666,33.33333333333333,0.0,0.0,2021,2023
HU,CEE,29,41889.07588993196,8616.426756985607,68910.15944208183,35.964285714285715,229771.38018628288,8.930517013557965,2.283337892809532,3.1379310344827585,2.103448275862069,6.0344827586206895,75.86206896551724,13.793103448275861,10.344827586206897,37.93103448275862,2020,2024
HR,CEE,14,269404.0912654987,53503.56294536817,617893.1872944699,12249.614791987671,2376187.648456057,11.283185855051757,1.4437379795163923,2.7857142857142856,0.7857142857142857,3.7142857142857144,71.42857142857143,28.57142857142857,14.285714285714285,7.142857142857142,2023,2025
RO,CEE,8,81207.46349155932,2210.496555819477,224070.49072337762,521.7373713380839,635748.2185273159,8.146633560176054,2.2194537590060226,1.875,0.875,2.75,75.0,0.0,0.0,25.0,2021,2023
LV,CEE,6,244265.56144431446,17682.258658972933,540728.6243426291,839.2715756136183,1346316.680779001,9.77776342034638,2.7714645582988746,1.8333333333333333,2.3333333333333335,4.666666666666667,100.0,0.0,33.33333333333333,33.33333333333333,2020,2023
SI,CEE,2,3454.8282225410426,3454.8282225410426,4144.046650019991,524.5447347585115,6385.111710323574,7.513158090404556,1.7659606850690626,0.0,0.0,0.0,50.0,50.0,0.0,0.0,2023,2024
EE,CEE,1,50.3562945368171,50.3562945368171,,50.3562945368171,50.3562945368171,3.938787509910169,,1.0,3.0,4.0,0.0,100.0,0.0,0.0,2023,2023
IS,EEA-Non-EU,8,63684.875053847165,30841.850828729283,85369.86646874472,7741.320914479255,266092.3434283452,10.475380144399725,1.1200445085667192,3.875,3.5,7.75,50.0,50.0,0.0,12.5,2020,2025
