Variable,Coefficient,Std. Error,95% CI,p-value
Aggravating Factor Count,0.2211***,0.0502,"[0.123, 0.319]",<0.0001
Mitigating Factor Count,-0.0356,0.0457,"[-0.125, 0.054]",0.4367
Neutral Factor Count,0.1073,0.0718,"[-0.034, 0.248]",0.1354
Private Sector,0.4029*,0.1728,"[0.064, 0.742]",0.0197
Large/Very Large Enterprise,1.9628***,0.1746,"[1.621, 2.305]",<0.0001
Complaint Origin,-0.4768*,0.1872,"[-0.844, -0.110]",0.0109
Audit Origin,0.4724**,0.1576,"[0.163, 0.781]",0.0027
Cross-Border (OSS) Case,0.9955**,0.3852,"[0.241, 1.750]",0.0098
Art. 5 Violation,0.2488,0.2000,"[-0.143, 0.641]",0.2134
Art. 6 Violation,-0.0043,0.1693,"[-0.336, 0.328]",0.9799
Art. 32 Violation,0.2000,0.2050,"[-0.202, 0.602]",0.3295
Art. 33 Violation,0.0957,0.3354,"[-0.562, 0.753]",0.7753
CCTV Context,-0.5283*,0.2565,"[-1.031, -0.026]",0.0394
Marketing Context,0.0562,0.2023,"[-0.340, 0.453]",0.7813
Intercept,8.9966***,0.4213,"[8.171, 9.822]",<0.0001
---,---,---,---,---
N (observations),528,,,
N (authorities),1,,,
σ²_authority,2.9699,,,
σ²_residual,2.1102,,,
ICC (authority),0.5846,,,
R² (marginal),0.6008,,,
R² (conditional),0.6710,,,
AIC,nan,,,
Log-Likelihood,-1010.74,,,
