======================================================================
Phase 3: Data Repair Log
======================================================================

Generated: 2025-10-05T14:27:23.639268
Input: /Users/milos/Desktop/enforcement/outputs/phase1_extraction/main_dataset.csv
Output: /Users/milos/Desktop/enforcement/outputs/phase3_repair/repaired_dataset.csv

REPAIR SUMMARY
----------------------------------------------------------------------
Total rows processed: 1473
Rows repaired: 406
Rows flagged for manual review: 18
Total actions logged: 1034

REPAIRS BY PATTERN
----------------------------------------------------------------------
pattern1_not_discussed_to_no: 633 repairs
  Rule: NOT_DISCUSSED → NO
  Reason: Two-option field expects YES or NO, NOT_DISCUSSED invalid

pattern2_not_applicable_to_not_discussed: 282 repairs
  Rule: NOT_APPLICABLE → NOT_DISCUSSED
  Reason: NOT_APPLICABLE used incorrectly; defer to NOT_DISCUSSED sentinel when value missing

pattern3_breached_to_yes: 91 repairs
  Rule: BREACHED → YES
  Reason: Rights violation fields expect YES/NO/NOT_DISCUSSED, not BREACHED

pattern4_not_breached_to_no: 9 repairs
  Rule: NOT_BREACHED → NO
  Reason: Field expects YES/NO format, not BREACHED/NOT_BREACHED

pattern6_intentional_to_aggravating: 1 repairs
  Rule: INTENTIONAL → AGGRAVATING
  Reason: Field expects AGGRAVATING/MITIGATING/NEUTRAL/NOT_DISCUSSED, not INTENTIONAL

FLAGS BY PATTERN
----------------------------------------------------------------------
pattern5_sector_in_defendant_class: 18 flags
  Values flagged: MEDIA, EDUCATION, JUDICIAL, TELECOM
  Reason: Sector-specific label captured in defendant_class; requires manual review

DETAILED ACTIONS
----------------------------------------------------------------------
Row ID, Field, From, To, Pattern, Action
Spain_411, a43_transparency_violated, BREACHED, YES, pattern3_breached_to_yes, REPAIR
Spain_414, a56_turnover_discussed, NOT_DISCUSSED, NO, pattern1_not_discussed_to_no, REPAIR
Spain_421, a43_transparency_violated, BREACHED, YES, pattern3_breached_to_yes, REPAIR
Spain_430, a56_turnover_discussed, NOT_DISCUSSED, NO, pattern1_not_discussed_to_no, REPAIR
Spain_447, a3_appellate_decision, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a15_data_subject_complaint, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a16_media_attention, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a17_official_audit, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a20_breach_notification_effect, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a21_art5_lawfulness_fairness, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a22_art5_purpose_limitation, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a23_art5_data_minimization, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
Spain_447, a24_art5_accuracy, NOT_APPLICABLE, NOT_DISCUSSED, pattern2_not_applicable_to_not_discussed, REPAIR
