id,fine_currency,fine_amount_orig,fine_amount_eur,fine_fx_method,fine_fx_year,fine_fx_month,flag_fine_fx_fallback,turnover_currency,turnover_amount_orig,turnover_amount_eur,turnover_fx_method,turnover_fx_year,turnover_fx_month,flag_turnover_fx_fallback
Spain_411,EUR,4000.0,4000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_412,EUR,1800.0,1800.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_414,,,,,,,False,,,,,,,False
Spain_415,EUR,50000.0,50000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_416,EUR,5000.0,5000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_417,,,,,,,False,,,,,,,False
Spain_418,,,,,,,False,,,,,,,False
Spain_419,EUR,12000.0,12000.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_421,EUR,20000.0,20000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_422,EUR,15000.0,15000.0,ANNUAL_AVG,2022,0,False,,,,,,,False
Spain_423,EUR,40000.0,40000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_424,EUR,900.0,900.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_427,EUR,900.0,900.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_428,EUR,2000.0,2000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_429,,,,,,,False,,,,,,,False
Spain_430,,,,,,,False,,,,,,,False
Spain_431,EUR,2000.0,2000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_432,EUR,2000.0,2000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_433,EUR,1000.0,1000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_434,EUR,3000.0,3000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_435,EUR,1500.0,1500.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_436,EUR,50000.0,50000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_437,,,,,,,False,,,,,,,False
Spain_438,EUR,75000.0,75000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_439,EUR,1200.0,1200.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_440,EUR,9000.0,9000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_441,EUR,70000.0,70000.0,ANNUAL_AVG,2022,0,False,,,,,,,False
Spain_443,,,,,,,False,,,,,,,False
Spain_444,EUR,3000.0,3000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_445,EUR,6000.0,6000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_446,,,,,,,False,,,,,,,False
Spain_447,,,,,,,False,,,,,,,False
Spain_448,,,,,,,False,,,,,,,False
Spain_449,EUR,30000.0,30000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_450,EUR,10000.0,10000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_451,EUR,36000.0,36000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_452,EUR,2000.0,2000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_453,EUR,36000.0,36000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_454,EUR,30000.0,30000.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_455,EUR,30000.0,30000.0,ANNUAL_AVG,2023,0,False,,,,,,,False
Spain_456,EUR,0.0,0.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_457,,,,,,,False,,,,,,,False
Spain_458,EUR,100000.0,100000.0,ANNUAL_AVG,2021,0,False,EUR,7764059.0,7764059.0,ANNUAL_AVG,2021,0,False
Spain_459,EUR,2400.0,2400.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_460,EUR,6000.0,6000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_461,EUR,6000.0,6000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_462,EUR,300000.0,300000.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_463,,,,,,,False,,,,,,,False
Spain_464,EUR,10000.0,10000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_465,EUR,50000.0,50000.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_466,,,,,,,False,,,,,,,False
Spain_467,,,,,,,False,,,,,,,False
Spain_469,,,,,,,False,,,,,,,False
Spain_470,EUR,4800.0,4800.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_471,,,,,,,False,,,,,,,False
Spain_472,,,,,,,False,,,,,,,False
Spain_473,EUR,4000.0,4000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_474,EUR,3000.0,3000.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_475,,,,,,,False,,,,,,,False
Spain_476,,,,,,,False,,,,,,,False
Spain_477,,,,,,,False,,,,,,,False
Spain_478,,,,,,,False,,,,,,,False
Spain_479,EUR,30000.0,30000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_480,,,,,,,False,,,,,,,False
Spain_481,EUR,42000.0,42000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_482,EUR,30000.0,30000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_483,EUR,42000.0,42000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_484,EUR,1500.0,1500.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_485,,,,,,,False,,,,,,,False
Spain_486,EUR,120000.0,120000.0,ANNUAL_AVG,2021,0,False,,,,,,,False
Spain_488,EUR,0.0,0.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_489,,,,,,,False,,,,,,,False
Spain_490,EUR,6000.0,6000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_492,EUR,6000.0,6000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_493,,,,,,,False,,,,,,,False
Spain_494,EUR,20000.0,20000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_495,EUR,70000.0,70000.0,ANNUAL_AVG,2022,0,False,,,,,,,False
Spain_496,,,,,,,False,,,,,,,False
Spain_497,EUR,3600.0,3600.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_498,,,,,,,False,,,,,,,False
Spain_499,,,,,,,False,,,,,,,False
Spain_500,EUR,8000.0,8000.0,ANNUAL_AVG,2020,0,False,,,,,,,False
Spain_501,EUR,3000.0,3000.0,ANNUAL_AVG,2019,0,False,,,,,,,False
Spain_502,EUR,3000.0,3000.0,ANNUAL_AVG,2021,0,False,,,,,,,False
