id,fine_currency,fine_amount_orig,fine_fx_method,turnover_currency,turnover_amount_orig,turnover_fx_method
Hungary_10,,,,,0.0,
Greece_48,EUR,150000.0,,,,
Italy_132,,0.0,,,,
Czech Republic_1,CZK,500000.0,,,,
Czech Republic_2,CZK,100000.0,,,,
Czech Republic_3,CZK,975000.0,,,,
Czech Republic_5,CZK,10000.0,,,,
Cyprus_2,GBP,500000.0,,,,
Croatia_12,HRK,675000.0,,,,
Croatia_25,HRK,2150000.0,,,,
Croatia_26,HRK,30000.0,,,,
Bulgaria_1,BGN,500.0,,,,
Bulgaria_4,BGN,2000.0,,,,
Bulgaria_6,BGN,2000.0,,,,
Bulgaria_7,BGN,10000.0,,BGN,259382000.0,
Bulgaria_9,BGN,25000.0,,,,
Bulgaria_10,BGN,2000.0,,,,
Belgium_2,,0.0,,,,
