id,processing_context,position
Spain_411,MARKETING,1
Spain_411,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Spain_412,MARKETING,1
Spain_412,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Spain_415,CCTV,1
Spain_416,CCTV,1
Spain_417,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_419,MARKETING,1
Spain_421,CCTV,1
Spain_421,EMPLOYEE_MONITORING,2
Spain_422,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_423,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_428,COOKIES,1
Spain_430,RECRUITMENT_AND_HR,1
Spain_431,CCTV,1
Spain_432,CCTV,1
Spain_433,MARKETING,1
Spain_435,MARKETING,1
Spain_437,COOKIES,1
Spain_437,CUSTOMER_LOYALTY_CLUBS,2
Spain_440,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_441,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_445,MARKETING,1
Spain_446,COOKIES,1
Spain_449,COOKIES,1
Spain_452,CCTV,1
Spain_454,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_455,JOURNALISM,1
Spain_456,DPO_ROLE_PROBLEMS_STATED,1
Spain_458,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_459,MARKETING,1
Spain_459,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Spain_461,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_462,MARKETING,1
Spain_464,EMPLOYEE_MONITORING,1
Spain_464,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,2
Spain_465,RECRUITMENT_AND_HR,1
Spain_469,CCTV,1
Spain_470,MARKETING,1
Spain_471,MARKETING,1
Spain_472,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_473,CCTV,1
Spain_474,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_477,MARKETING,1
Spain_478,MARKETING,1
Spain_480,RECRUITMENT_AND_HR,1
Spain_484,CCTV,1
Spain_490,MARKETING,1
Spain_492,CCTV,1
Spain_494,CUSTOMER_LOYALTY_CLUBS,1
Spain_496,CCTV,1
Spain_496,EMPLOYEE_MONITORING,2
Spain_497,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,1
Spain_500,COOKIES,1
