id,guideline,position
Spain_417,WP29 Opinion 4/2007 On the concept of personal data,1
Spain_422,Guidelines 07/2020 on the concepts of responsible for the treatment and processor in the RGPD,1
Spain_441,Guidelines 07/2020 of the European Committee for Data Protection (CEPD) on the concepts of data controller and manager in the RGPD,1
Spain_455,Opinion 06/2014 on the concept of legitimate interest of the data controller under Article 7 of Directive 95/46/EC,1
Spain_553,Guide on Cookies,1
Spain_574,Opinion 4/2012,1
Spain_581,Opinion 4/2012,1
Spain_610,Guidelines on the implementation of the Court of Justice of the European Union Judgment on Google Spain and Inc v. AEPD and Mario Costeja C-131/12,1
Slovenia_1,EDPB Guidelines 03/2020 on the processing of data concerning health for the purpose of scientific research in the context of the COVID-19 outbreak,1
Slovenia_16,EDPB Guidelines 05/2020 on consent under Regulation 2016/679,1
Slovenia_36,EDPB Opinion 5/2019 on the interplay between the ePrivacy Directive and the GDPR,1
Slovenia_44,Guidelines on Data Protection Officers,1
Slovenia_48,EDPB Opinion 3/2019 on the interplay between the Clinical Trials Regulation and the GDPR,1
Slovenia_53,EDPB Guidelines 1/2024 on processing personal data based on legitimate interest,1
Slovenia_64,Guidelines 3/2019 on processing of personal data through video devices,1
Slovenia_75,EDPB Guidelines on consent as a legal basis for the processing of personal data in employment relationships,1
Slovakia_1,EDPB Guidelines 2/2020 on Articles 46(2)(a) and 46(3)(b) GDPR,1
Slovakia_1,EDPB Statement 04/2021,2
Romania_8,Guidelines 2/2019 on Article 6(1)(f),1
Romania_8,Guidelines 05/2020 on consent,2
Italy_310,Guidelines on cookies and other tracking tools of 10 June 2021,1
Italy_311,EDPB Guidelines 07/2020 on the concepts of data controller and data processor under the GDPR,1
Italy_311,Guidelines 1/2024 on processing of personal data based on Article 6(1)(f),2
Italy_313,Guidelines 5/2020 on consent under Regulation (EU) 2016/679,1
Italy_313,Opinion 03/2013 on purpose limitation,2
Italy_313,Guidelines on transparency pursuant to Regulation 2016/679,3
Italy_313,Opinion 28/2024 on certain data protection aspects related to the processing of personal data in the context of AI models,4
Italy_314,Guidelines 1/2022 on data subject rights - Right of access,1
Italy_314,Opinion 05/2014 on anonymization techniques,2
Italy_315,Guidelines 9/2022 on the Notification of Personal Data Breach under the GDPR,1
Italy_316,Guidelines 07/2020 on the concepts of data controller and data processor under the GDPR,1
Italy_316,Guidelines on the notification of personal data breaches under Regulation (EU) 2016/679,2
Italy_316,Guidelines 9/2022 on personal data breach notification under GDPR,3
Italy_316,Guidelines 4/2019 on Article 25 Data protection by design and by default,4
Ireland_19,EDPB Guidelines 01/2022 on data subject rights – Right of access,1
Ireland_19,Article 29 Data Protection Working Party Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679,2
Iceland_7,Guidelines 3/2019 on processing of personal data through video devices,1
Iceland_9,Guidelines no. 5/2020 on approval,1
Iceland_18,Guidelines no. 05/2020,1
Iceland_42,Guidelines of the European Privacy Council no. 7/2020 on the concepts responsible party and processor,1
Iceland_50,EDPB Guidelines 03/2020 on the processing of personal data for the purpose of scientific research in the context of the COVID-19 outbreak,1
Iceland_53,Guidelines on Data Protection Officers,1
Iceland_78,Guidelines 07/2020 on the concepts of controller and processor in the GDPR,1
Hungary_1,Guidelines 07/2020 on the concepts of controller and processor in the GDPR,1
Hungary_6,Guidelines 4/2019 on Article 25 Data Protection by Design and by Default,1
Hungary_8,Guidelines 05/2020 on consent under Regulation 2016/679,1
Hungary_8,WP259 on consent,2
Hungary_22,EDPB Guidelines 5/2020 on consent,1
Hungary_22,WP29 Guidelines WP259 on consent,2
Hungary_28,Guidelines on transparency facilitating the application and interpretation of GDPR (WP259),1
Hungary_35,EDPB Guidelines 5/2020 on consent,1
Hungary_36,"WP29 Opinion 1/2010 on the concepts of ""controller"" and ""processor""",1
Hungary_36,EDPB Guidelines 2/2019 on the processing of personal data under Article 6(1)(b) GDPR in the context of the provision of online services to data subjects,2
Hungary_42,EDPB Guidelines 5/2020 on consent,1
Hungary_42,EDPB Guidelines 2/2019 on processing under Article 6(1)(b),2
Hungary_43,Guidelines 3/2019 on processing of personal data through video devices,1
Hungary_48,EDPB Guidelines 3/2019 on processing of personal data through video devices,1
Hungary_59,Guidelines 5/2020 on consent,1
Greece_4,Guidelines 01/2022 on data subject rights - Right of access,1
Greece_4,Guidelines 04/2022 on the calculation of administrative fines,2
Greece_4,WP29 Guidelines on transparency (WP260 rev.01),3
Greece_4,Guidelines on the application and setting of administrative fines (WP253),4
Greece_7,Guidelines 07/2020 on the concepts of controller and processor in the GDPR,1
Greece_7,Guidelines 2/2019 on the processing of personal data under Article 6(1)(b) GDPR in the context of the provision of online services to data subjects,2
Greece_9,EDPB Opinion 8/2019 on the competence of the supervisory authority in the event of change of circumstances concerning the main or single establishment,1
Greece_17,Opinion 15/2011 on the definition of consent,1
Greece_17,Opinion 5/2014 on anonymisation techniques,2
Greece_17,Guidelines on the consent under Regulation 2016/679,3
Greece_17,Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679,4
Greece_19,Guidelines 07/2020 on the concepts of controller and processor in the GDPR,1
Greece_19,Opinion 2/2017 on data processing at work,2
Greece_19,WP 253 Guidelines on the application and setting of administrative fines,3
Greece_19,Guidelines 04/2022 on the calculation of administrative fines,4
Greece_23,Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679,1
Greece_23,Guidelines 04/2022 on the calculation of administrative fines under the General Regulation,2
Greece_26,Guidelines 07/2020 on the concepts of controller and processor,1
Greece_26,Opinion 4/2007 on the concept of personal data,2
Greece_26,Opinion 5/2019 on the interaction between the ePrivacy Directive and the GDPR,3
Greece_26,Guidelines 4/2022 on the calculation of administrative fines,4
Greece_27,Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679,1
Greece_27,Guidelines 04/2022 on the calculation of administrative fines under the GDPR,2
Greece_28,Guidelines 04/2022 on the calculation of administrative fines under the GDPR,1
Greece_29,EDPB Guidelines 1/2024 on processing of personal data based on Article 6(1)(f) GDPR,1
Greece_30,Guidelines 5/2019 on the criteria of the right to be forgotten,1
Greece_32,Guidelines 3/2019 on processing of personal data through video devices,1
Greece_33,Opinion 2/2017 of the Working Group of article 29,1
Greece_33,Guidelines 2/2019 of the European Council on Data Protection,2
Greece_33,Guidelines 5/2020 on consent under Regulation 2016/679,3
Greece_33,Guidelines and the implementation and setting of administrative fines for the purposes of Regulation 2016/679 WP253,4
Greece_34,Guidelines 5/2019,1
Greece_38,Guidelines 5/2019,1
Greece_39,Guidelines 4/2022 on the calculation of administrative fines for the purposes of Regulation 2016/679,1
Greece_42,Guidelines 7/2020,1
Greece_42,Guidelines 04/2022,2
Greece_45,Guidelines relating to data protection officers,1
Greece_56,Guidelines on the application and determination of administrative fines for the purposes of Regulation 2016/679 WP253,1
Greece_60,Guidelines 4/2022 of the ESPD for the calculation of administrative fines,1
Greece_63,WP29 Guidelines on consent under Regulation 2016/679 (WP259rev.01),1
Greece_63,WP29 Guidelines on transparency under Regulation 2016/679 (WP260 rev.01),2
Greece_69,EDPB Guidelines 01/2022 on data subjects' rights – Right of access,1
Greece_69,Guidelines 04/2022 for the calculation of administrative fines under the General Regulation,2
Greece_69,WP29 Guidelines WP 253 on administrative fines,3
Greece_71,Opinion 1/2010 on the concepts of controller and processor,1
Greece_71,Guidelines for the application and determination of administrative fines WP253,2
Greece_71,Guidelines 04/2022 on the calculation of administrative fines,3
Greece_72,Guidelines 04/2022 for the calculation of administrative fines under the GDPR,1
Greece_72,Guidelines for the implementation and determination of administrative fines for the purposes of regulation 2016/679 of the Working Group of Article 29,2
Greece_73,Guidelines 3/2019 on processing of personal data through video devices,1
Greece_73,Guidelines 01/2022 on the rights of data subjects – Right of access,2
Greece_73,Guidelines 04/2022 on the calculation of administrative fines under the General Regulation,3
Greece_73,WP 253 Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679,4
Greece_78,Guidelines 18/2018 on Personal data breach notification under Regulation,1
Greece_78,Guidelines 09/2022 for the notification of incidents of violation,2
Greece_78,Guidelines 04/2022 for the calculation of administrative fines,3
Greece_82,Guidelines 1/2023 for the processing of personal data for the purpose of communication of a political nature,1
Greece_82,Guidelines for the application and determination of administrative fines for the purposes of Regulation 2016/679 (WP 253),2
Greece_86,"Guidelines 5/2019 of the European Data Protection Board regarding the criteria governing the right to be forgotten, according to the GDPR, in the cases of search engines",1
Greece_89,Guidelines on the implementation and determination of administrative fines for the purposes of regulation 2016/679 WP253,1
Greece_91,Guidelines 4/2022 of the European Data Protection Board for the calculation of administrative fines for the purposes of Regulation 2016/679,1
Greece_96,Guidelines 01/2022 on data subjects' rights – Right of access,1
Greece_96,Guidelines 04/2022 on the calculation of administrative fines under the GDPR,2
Greece_96,Guidelines for the application and determination of administrative fines for the purposes of Regulation 2016/679 WP253,3
Greece_99,EDPB Guidelines 04/2022 on calculation of administrative fines under the GDPR,1
Greece_103,Guidelines 07/2020 on the concepts of controller and processor in the GDPR,1
Greece_103,Guidelines 01/2022 on data subject rights - Right of access,2
Greece_109,Guidelines 5/2020 on consent under Regulation 2016/679,1
Greece_109,Guidelines on transparency under Regulation 2016/679,2
Greece_111,Guidelines 3/2019 on processing of personal data through video devices,1
Greece_114,Guidelines 4/2022 on calculation of administrative fines,1
Greece_115,Guidelines 5/2019 of the European Data Protection Board on the criteria governing the right to be forgotten under the GDPR in the case of search engines,1
Greece_116,Guidelines 7/2020 on concepts of controller and processor,1
Greece_116,WP29 Guidelines on administrative fines (WP253),2
Greece_122,Guidelines 7/2020,1
Greece_122,Guidelines 04/2022,2
Greece_123,Guidelines for the application and determination of administrative fines for the purposes of Regulation 2016/679 (WP 253),1
Greece_123,Guidelines 04/2022 on the calculation of administrative fines under the GDPR,2
Germany_3,EDPB Recommendations 01/2020 on measures that supplement transfer tools to ensure compliance with the EU level of protection of personal data,1
Germany_14,EDPB Guidelines 01/2022 on data subject rights - Right of access,1
Germany_35,EDPB Guidelines 05/2020 on Consent pursuant to Regulation 2016/679,1
France_5,Opinion No. 05/2014 on anonymization techniques,1
France_6,Guidelines on transparency within the meaning of Regulation (EU) 2016/679,1
France_8,EDPB Recommendations 01/2020 on measures that supplement transfer tools to ensure compliance with the EU level of protection of personal data,1
France_11,Guidelines 3/2018 on the territorial scope of the GDPR,1
France_11,Opinion 06/2014 on the notion of legitimate interests,2
France_13,WP244,1
France_13,WP260,2
France_13,WP250,3
France_18,guidelines on transparency within the meaning of the Regulation,1
France_24,Guidelines on transparency within the meaning of the Regulation,1
France_25,EDPB Guidelines 04/2020 on the use of location data and contact tracing tools in the context of the COVID-19 outbreak,1
France_26,Guidelines 3/2019 on processing of personal data through video devices,1
France_30,Guidelines 07/2020,1
France_36,Guidelines 5/2020 on consent within the meaning of Regulation (EU) 2016/679,1
France_36,Opinion 5/2019 on the interactions between the ePrivacy Directive and the GDPR,2
France_39,Guidelines on transparency under Regulation 2016/679,1
France_42,Guidelines on data protection by design and by default,1
France_42,Guidelines on DPIA and how to determine whether processing is likely to result in a high risk,2
France_44,Guidelines 3/2018 on the territorial scope of the GDPR,1
France_48,Guidelines 07/2020 concerning the notions of controller and processor in the GDPR,1
France_50,Guidelines on personal data breach notification,1
France_50,Guidelines on transparency within the meaning of Regulation (EU) 2016/679,2
France_53,Guidelines on transparency under Regulation 2016/679,1
France_53,Opinion 06/2014 on the notion of legitimate interests,2
France_56,Guidelines 5/2020 on consent,1
France_56,Guidelines 04/2022 on the calculation of the amount of administrative fines,2
France_59,Opinion 05/2014 on anonymization techniques,1
France_61,Guidelines 5/2020 on consent,1
France_62,Guidelines 5/2020 on consent,1
France_63,Guidelines 07/2020 on the concepts of controller and processor in the GDPR,1
France_63,Opinion 05/2014 on anonymization techniques,2
France_66,Guidelines on transparency under Regulation (EU) 2016/679,1
France_66,Guidelines on the rights of data subjects - right of access,2
France_68,Guidelines 5/2020 on consent within the meaning of Regulation (EU) 2016/679,1
Finland_7,Guidelines 5/2019 on the criteria of the Right to be Forgotten in the search engines cases under the GDPR,1
Finland_7,guidelines on the implementation of the Court of Justice of the European Union judgment on Google Spain and Inc v. Agencia Española de Protección de Datos (AEPD) and Mario Costeja González C-131/12,2
Finland_8,EDPB Guidelines 4/2019 on built-in and default data protection pursuant to Article 25,1
Finland_12,Guidelines on data subject rights - Right of access,1
Finland_12,Guidelines 3/2019 on the processing of personal data by video equipment,2
Finland_18,WP29 Guidelines on the Reporting of a Personal Data Breach under Regulation (EU) 2016/679,1
Finland_18,Report of the Working Party on the Implementation of the EU General Data Protection Regulation (TATTI),2
Finland_20,Guidelines 4/2019 on Article 25 Data Protection by Design and by Default,1
Finland_24,Guidelines 05/2020 on consent according to the General Data Protection Regulation,1
Finland_29,EDPB Guidelines 4/2019 on built-in and default data protection pursuant to Article 25 Version 2.0,1
Finland_29,EDPB Guidelines 02/2021 on virtual assistants controlled by voice commands Version 2.0,2
Finland_30,Guidelines for consent according to Regulation 2016/679 05/2020,1
Finland_40,EDPB Guidelines 05/2020 on consent,1
