:START_ID,:END_ID,:TYPE,article_reference,article_reference_detail,article_detail_tokens,position
Decision|Spain_411,Article|GDPR_7,BREACHES,7,,,1
Decision|Spain_411,Article|GDPR_13,BREACHES,13,,,2
Decision|Spain_412,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_414,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_414,Article|GDPR_32,BREACHES,32,,,2
Decision|Spain_415,Article|GDPR_37,BREACHES,37,,,1
Decision|Spain_416,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_417,Article|GDPR_32,BREACHES,32,,,1
Decision|Spain_418,Article|GDPR_37,BREACHES,37,,,1
Decision|Spain_421,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_421,Article|GDPR_12,BREACHES,12,,,2
Decision|Spain_422,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_423,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_424,Article|GDPR_13,BREACHES,13,,,1
Decision|Spain_427,Article|GDPR_13,BREACHES,13,,,1
Decision|Spain_428,Article|GDPR_13,BREACHES,13,,,1
Decision|Spain_429,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_429,Article|GDPR_25,BREACHES,25,,,2
Decision|Spain_429,Article|GDPR_32,BREACHES,32,,,3
Decision|Spain_429,Article|GDPR_33,BREACHES,33,,,4
Decision|Spain_430,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_431,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_432,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_432,Article|GDPR_13,BREACHES,13,,,2
Decision|Spain_434,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_435,Article|GDPR_21,BREACHES,21,,,1
Decision|Spain_436,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_438,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_439,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_440,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_440,Article|GDPR_13,BREACHES,13,,,2
Decision|Spain_441,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_441,Article|GDPR_32,BREACHES,32,,,2
Decision|Spain_443,Article|GDPR_13,BREACHES,13,,,1
Decision|Spain_443,Article|GDPR_37,BREACHES,37,,,2
Decision|Spain_444,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_444,Article|GDPR_32,BREACHES,32,,,2
Decision|Spain_445,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_450,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_451,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_452,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_453,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_454,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_455,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_456,Article|GDPR_37,BREACHES,37,,,1
Decision|Spain_457,Article|GDPR_13,BREACHES,13,,,1
Decision|Spain_458,Article|GDPR_28,BREACHES,28,,,1
Decision|Spain_459,Article|GDPR_13,BREACHES,13,,,1
Decision|Spain_460,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_461,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_461,Article|GDPR_32,BREACHES,32,,,2
Decision|Spain_462,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_462,Article|GDPR_17,BREACHES,17,,,2
Decision|Spain_462,Article|GDPR_28,BREACHES,28,,,3
Decision|Spain_464,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_465,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_466,Article|GDPR_37,BREACHES,37,,,1
Decision|Spain_467,Article|GDPR_37,BREACHES,37,,,1
Decision|Spain_469,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_470,Article|GDPR_7,BREACHES,7,,,1
Decision|Spain_472,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_473,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_474,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_474,Article|GDPR_32,BREACHES,32,,,2
Decision|Spain_477,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_477,Article|GDPR_21,BREACHES,21,,,2
Decision|Spain_478,Article|GDPR_21,BREACHES,21,,,1
Decision|Spain_479,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_480,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_481,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_482,Article|GDPR_58,BREACHES,58,,,1
Decision|Spain_483,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_484,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_485,Article|GDPR_13,BREACHES,13,,,1
Decision|Spain_486,Article|GDPR_32,BREACHES,32,,,1
Decision|Spain_488,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_490,Article|GDPR_21,BREACHES,21,,,1
Decision|Spain_492,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_493,Article|GDPR_12,BREACHES,12,,,1
Decision|Spain_493,Article|GDPR_17,BREACHES,17,,,2
Decision|Spain_494,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_495,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_495,Article|GDPR_32,BREACHES,32,,,2
Decision|Spain_496,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_496,Article|GDPR_13,BREACHES,13,,,2
Decision|Spain_497,Article|GDPR_6,BREACHES,6,,,1
Decision|Spain_498,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_499,Article|GDPR_5,BREACHES,5,,,1
Decision|Spain_499,Article|GDPR_32,BREACHES,32,,,2
