id:ID,:LABEL,name
Context|MARKETING,Context,MARKETING
Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,Context,PROBLEMATIC_THIRD_PARTY_SHARING_STATED
Context|CCTV,Context,CCTV
Context|EMPLOYEE_MONITORING,Context,EMPLOYEE_MONITORING
Context|COOKIES,Context,COOKIES
Context|RECRUITMENT_AND_HR,Context,RECRUITMENT_AND_HR
Context|CUSTOMER_LOYALTY_CLUBS,Context,CUSTOMER_LOYALTY_CLUBS
Context|JOURNALISM,Context,JOURNALISM
Context|DPO_ROLE_PROBLEMS_STATED,Context,DPO_ROLE_PROBLEMS_STATED
Context|CREDIT_SCORING,Context,CREDIT_SCORING
Context|ARTIFICIAL_INTELLIGENCE,Context,ARTIFICIAL_INTELLIGENCE
Context|EDUCATION,Context,EDUCATION
Context|HEALTH,Context,HEALTH
Context|BACKGROUND_CHECKS,Context,BACKGROUND_CHECKS
Context|HEALTH_DATA_PROCESSING,Context,HEALTH_DATA_PROCESSING
Context|WEBSITE_OR_ONLINE_SERVICES,Context,WEBSITE_OR_ONLINE_SERVICES
Context|TELEMARKETING,Context,TELEMARKETING
Context|ACCESS_CONTROL,Context,ACCESS_CONTROL
