article_set_key,article_family_key,article_count,case_count,country_count,log_fine_mean,log_fine_std,log_fine_median,measure_jaccard_mean,measure_jaccard_median,sanction_profile_mode
NONE,NONE,0,271,15,0.7183412468978083,2.845601886748435,0.0,0.4409651040954854,0.0,NoFormalMeasure
5,5,1,53,9,5.623609126187504,4.84367750292511,7.728604393843048,0.32739823070011753,0.0,NoFormalMeasure
6,6,1,44,7,7.991568075059979,4.336098245495739,9.935919190833939,0.4435971005738447,0.0,NoFormalMeasure
5;32,32-34;5,2,30,9,6.96293612997195,5.214613797190275,8.585761544605063,0.35967432950191575,0.14285714285714285,ComplianceOrder
5;6,5;6,2,26,8,3.591552773625836,5.278451796229178,0.0,0.35016483516483515,0.25,NoFormalMeasure
32,32-34,1,26,9,3.9279026194412134,4.735028780150771,0.0,0.2621428571428572,0.0,NoFormalMeasure
15,12-15,1,21,8,0.3344617678556833,1.495758497600124,0.0,0.3924886621315193,0.26785714285714285,NoFormalMeasure
12;15,12-15,2,16,9,1.1145390024492157,2.434956123999481,0.0,0.3726190476190476,0.125,NoFormalMeasure
5;13,12-15;5,2,14,7,4.545787008898942,4.631879805395196,3.9157093825928526,0.26700680272108845,0.125,ComplianceOrder
13,12-15,1,11,2,5.167579050946267,3.9980107108644463,7.040666263882576,0.4090909090909091,0.125,ComplianceOrder
17,16-18,1,9,5,0.0,0.0,0.0,0.3888888888888889,0.3333333333333333,NoFormalMeasure
21,21-22,1,8,2,5.701982170604448,4.510422895005304,8.036620436850017,0.24107142857142858,0.0,NoFormalMeasure
5;25,24-26;5,2,7,2,1.579703713905666,3.8694680438484212,0.0,0.5374149659863946,0.5,ComplianceOrder
6;13,12-15;6,2,6,2,5.177559768911904,3.9364404034719125,6.27072895463769,0.30833333333333335,0.125,ComplianceOrder
37,37-44,1,6,1,3.5686169208899954,5.050751367509023,0.0,0.2,0.125,ComplianceOrder
5;12;13,12-15;5,3,5,5,4.289394056917017,5.607680959357361,0.0,0.12857142857142856,0.0,NoFormalMeasure
5;6;9,5;6;9,3,5,4,4.473701786082758,5.500459520216257,0.0,0.4,0.0,NoFormalMeasure
32;33,32-34,2,4,4,6.938565029137859,4.228204042113659,8.14819193139116,0.3333333333333333,0.25,ComplianceOrder
58,58,1,4,1,7.394082458242007,4.323591022512135,9.517364231154758,0.20833333333333334,0.0625,NoFormalMeasure
5;12,12-15;5,2,4,3,4.5938508621605285,4.642546963315897,4.11962698949034,0.9166666666666666,0.875,ComplianceOrder
5;6;12;13,12-15;5;6,4,4,2,5.001909536765674,5.005329163388064,4.871102388880603,0.5,0.5,ComplianceOrder
12,12-15,1,4,3,2.1874934911731816,3.7888498679381715,0.0,0.4861111111111111,0.4583333333333333,ComplianceOrder
5;6;9;13,12-15;5;6;9,4,4,3,7.43824130522587,4.587509279292274,8.624758191263405,0.3630952380952381,0.26785714285714285,ErasureOrRestrictionOrder
5;9,5;9,2,3,2,0.0,0.0,0.0,1.0,1.0,ComplianceOrder
5;6;13,12-15;5;6,3,3,2,7.661606572950806,0.9376259183515689,7.270362381141019,0.14285714285714285,0.14285714285714285,ComplianceOrder
28,28-29,1,3,2,3.903948299696499,5.521016632234174,0.0,0.041666666666666664,0.0,NoFormalMeasure
12;15;31,12-15;30-31,3,3,1,5.0975989129682695,3.6179375588134413,7.265514842520642,0.2857142857142857,0.0,NoFormalMeasure
12;17,12-15;16-18,2,3,2,0.0,0.0,0.0,0.0,0.0,ComplianceOrder
28;32,28-29;32-34,2,2,2,14.08899345196953,3.581102233017285,14.08899345196953,0.875,0.875,Reprimand
5;25;28;32;33;34,24-26;28-29;32-34;5,6,2,1,9.43374239894144,0.20271622834280834,9.43374239894144,0.14285714285714285,0.14285714285714285,Reprimand
5;13;32,12-15;32-34;5,3,2,2,6.330920830959717,6.330920830959717,6.330920830959717,1.0,1.0,ComplianceOrder
38,37-44,1,2,2,6.64310308077455,6.64310308077455,6.64310308077455,0.125,0.125,ComplianceOrder
5;12;15,12-15;5,3,2,2,4.593105253085335,4.593105253085335,4.593105253085335,0.2857142857142857,0.2857142857142857,ComplianceOrder
5;6;9;12,12-15;5;6;9,4,2,2,13.157734204927145,1.4146816305485617,13.157734204927145,0.375,0.375,ErasureOrRestrictionOrder
5;32;33,32-34;5,3,2,2,11.855006080668932,0.46612194367804527,11.855006080668932,0.2857142857142857,0.2857142857142857,ComplianceOrder
5;6;12;13;32,12-15;32-34;5;6,5,2,2,14.795600732521322,2.533568374100245,14.795600732521322,0.0,0.0,ComplianceOrder
5;35,35;5,2,2,2,0.0,0.0,0.0,1.0,1.0,ComplianceOrder
5;15,12-15;5,2,2,2,4.975728913923799,4.975728913923799,4.975728913923799,0.375,0.375,ComplianceOrder
5;33,32-34;5,2,2,2,11.169916378759112,0.11987803481878334,11.169916378759112,0.0,0.0,NoFormalMeasure
5;24;25;32,24-26;32-34;5,4,2,1,5.077975660036778,5.077975660036778,5.077975660036778,0.125,0.125,ComplianceOrder
5;6;12;15;17,12-15;16-18;5;6,5,2,2,2.9439440766218286,2.9439440766218286,2.9439440766218286,0.14285714285714285,0.14285714285714285,ErasureOrRestrictionOrder
9,9,1,2,1,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,ErasureOrRestrictionOrder
7;13,12-15;7,2,2,1,8.366211002382986,0.16065902657351305,8.366211002382986,0.125,0.125,ComplianceOrder
5;6;9;32,32-34;5;6;9,4,2,1,0.0,0.0,0.0,0.0,0.0,NoFormalMeasure
5;6;15,12-15;5;6,3,2,2,0.0,0.0,0.0,1.0,1.0,NoFormalMeasure
7,7,1,2,1,7.564153721119955,1.1450048517578333,7.564153721119955,1.0,1.0,ComplianceOrder
5;25;32,24-26;32-34;5,3,2,2,5.671351963490936,5.671351963490936,5.671351963490936,0.0,0.0,ComplianceOrder
16;17;30;31,16-18;30-31,4,1,1,8.205551975809472,0.0,8.205551975809472,,,ComplianceOrder
25;32,24-26;32-34,2,1,1,0.0,0.0,0.0,,,Reprimand
15;21;25,12-15;21-22;24-26,3,1,1,0.0,0.0,0.0,,,NoFormalMeasure
15;17,12-15;16-18,2,1,1,0.0,0.0,0.0,,,ComplianceOrder
15;22,12-15;21-22,2,1,1,12.659463547061613,0.0,12.659463547061613,,,NoFormalMeasure
16,16-18,1,1,1,0.0,0.0,0.0,,,ComplianceOrder
13;37,12-15;37-44,2,1,1,0.0,0.0,0.0,,,Reprimand
13;46,12-15;46,2,1,1,20.088387566397234,0.0,20.088387566397234,,,Suspension
14;15,12-15,2,1,1,8.121715552663925,0.0,8.121715552663925,,,NoFormalMeasure
17;21;25,16-18;21-22;24-26,3,1,1,8.716268340436823,0.0,8.716268340436823,,,NoFormalMeasure
12;17;21,12-15;16-18;21-22,3,1,1,8.632422361902975,0.0,8.632422361902975,,,NoFormalMeasure
13;14,12-15,2,1,1,10.507891218952246,0.0,10.507891218952246,,,NoFormalMeasure
12;17;37,12-15;16-18;37-44,3,1,1,0.0,0.0,0.0,,,ErasureOrRestrictionOrder
12;17;21;25,12-15;16-18;21-22;24-26,4,1,1,10.102439770754941,0.0,10.102439770754941,,,NoFormalMeasure
13;28;30;35,12-15;28-29;30-31;35,4,1,1,14.148217028770885,0.0,14.148217028770885,,,NoFormalMeasure
13;32;33;37,12-15;32-34;37-44,4,1,1,11.424165558687063,0.0,11.424165558687063,,,NoFormalMeasure
13;25,12-15;24-26,2,1,1,0.0,0.0,0.0,,,ErasureOrRestrictionOrder
13;14;35,12-15;35,3,1,1,11.938984945030965,0.0,11.938984945030965,,,ComplianceOrder
