article_set_key,period_bucket,case_count,log_fine_mean,measure_count_mean,fine_imposed_rate
12,2021_plus,2,0.0,7.5,0.0
12,pre_2021,2,4.374986982346363,3.5,0.5
12;13,2021_plus,1,13.910603223740791,8.0,1.0
12;13;15;21;32,2021_plus,1,13.41973734195473,8.0,1.0
12;14;15;21,2021_plus,1,13.930562371507593,8.0,1.0
12;15,2021_plus,10,0.7643023884970631,4.6,0.1
12;15,pre_2021,6,1.6982666923694696,4.333333333333333,0.3333333333333333
12;15;17;32;33,2021_plus,1,12.726591646926067,6.0,1.0
12;15;18;25,pre_2021,1,11.18344274467003,6.0,1.0
12;15;21;25;32,2021_plus,1,12.81045172363652,0.0,1.0
12;15;25,2021_plus,1,12.301387370778713,7.0,1.0
12;15;31,2021_plus,3,5.0975989129682695,4.333333333333333,1.0
12;17,2021_plus,3,0.0,1.0,0.0
12;17;21,2021_plus,1,8.632422361902975,8.0,1.0
12;17;21;25,2021_plus,1,10.102439770754941,6.0,1.0
12;17;37,2021_plus,1,0.0,3.0,0.0
13,2021_plus,5,3.8721596150025874,4.0,0.4
13,pre_2021,6,6.247095247566,3.3333333333333335,0.8333333333333334
13;14,2021_plus,1,10.507891218952246,0.0,1.0
13;14;35,2021_plus,1,11.938984945030965,1.0,1.0
13;25,2021_plus,1,0.0,8.0,0.0
13;28;30;35,pre_2021,1,14.148217028770885,0.0,1.0
13;32;33;37,2021_plus,1,11.424165558687063,0.0,1.0
13;37,2021_plus,1,0.0,1.0,0.0
13;46,2021_plus,1,20.088387566397234,6.0,1.0
14;15,2021_plus,1,8.121715552663925,6.0,1.0
14;28,2021_plus,1,13.098133113071066,0.0,1.0
15,2021_plus,12,0.5853080937474459,2.5833333333333335,0.16666666666666666
15,pre_2021,9,0.0,2.888888888888889,0.0
15;17,pre_2021,1,0.0,6.0,0.0
15;21;25,pre_2021,1,0.0,0.0,1.0
15;22,2021_plus,1,12.659463547061613,8.0,1.0
16,2021_plus,1,0.0,3.0,0.0
16;17;30;31,2021_plus,1,8.205551975809472,8.0,1.0
17,2021_plus,7,0.0,1.5714285714285714,0.0
17,pre_2021,2,0.0,0.5,0.0
17;21;25,2021_plus,1,8.716268340436823,0.0,1.0
21,2021_plus,2,10.305173690453053,4.5,1.0
21,pre_2021,6,4.167584997321581,2.8333333333333335,0.5
25;32,2021_plus,1,0.0,1.0,0.0
25;32;34,pre_2021,1,11.18344274467003,6.0,1.0
25;33,2021_plus,1,19.361551342155224,1.0,1.0
27,2021_plus,1,0.0,1.0,0.0
28,2021_plus,3,3.903948299696499,3.0,0.3333333333333333
28;29;32,2021_plus,1,14.336027182509058,0.0,1.0
28;32,2021_plus,2,14.08899345196953,7.5,1.0
28;32;34,2021_plus,1,12.299627921247541,0.0,1.0
28;44,2021_plus,1,0.0,0.0,0.0
29;35,2021_plus,1,0.0,0.0,0.0
2;13;22,2021_plus,1,9.102359151773072,8.0,1.0
30,2021_plus,1,0.0,8.0,0.0
31,2021_plus,1,10.714439990727769,0.0,1.0
31;37,2021_plus,1,8.56530643082572,1.0,1.0
32,2021_plus,20,3.5994028624580694,2.75,0.45
32,pre_2021,6,5.022901809385029,1.6666666666666667,0.5
32;33,2021_plus,2,4.02856494190082,1.0,0.5
32;33,pre_2021,2,9.848565116374898,1.0,1.0
32;33;34,pre_2021,1,0.0,8.0,0.0
33;34,2021_plus,1,0.0,1.0,0.0
37,2021_plus,2,0.0,8.0,0.5
37,pre_2021,4,5.352925381334993,1.0,0.5
38,2021_plus,2,6.64310308077455,4.5,0.5
44,pre_2021,1,0.0,1.0,0.0
4;5;7;12;13;24;25,2021_plus,1,0.0,1.0,0.0
5,2021_plus,29,4.410572857012688,1.1724137931034482,0.5172413793103449
5,pre_2021,24,7.089361284773742,2.8333333333333335,0.7916666666666666
58,2021_plus,1,10.28475449761679,8.0,1.0
58,pre_2021,3,6.430525111783747,3.0,0.6666666666666666
58;83,2021_plus,1,13.042454788342718,3.0,1.0
5;12,2021_plus,2,0.0,7.0,0.0
5;12,pre_2021,2,9.187701724321057,8.0,1.0
5;12;13,2021_plus,4,1.905494998025179,2.25,0.25
5;12;13,pre_2021,1,13.824990292484365,0.0,1.0
5;12;13;15;24;31,2021_plus,1,9.210440366976517,0.0,1.0
5;12;13;15;32;34,pre_2021,1,10.136149469661435,6.0,1.0
5;12;15,2021_plus,1,9.18621050617067,6.0,1.0
5;12;15,pre_2021,1,0.0,3.0,0.0
5;12;16;17,2021_plus,1,8.943376748503317,0.0,1.0
5;12;17,2021_plus,1,0.0,8.0,0.0
5;12;25;28;30;32;33;34;35,2021_plus,1,0.0,8.0,1.0
5;12;25;30;31;32;37,2021_plus,1,10.840385717827472,0.0,1.0
5;12;31,2021_plus,1,7.270362381141019,7.0,1.0
5;13,2021_plus,11,4.360991551267707,2.727272727272727,0.5454545454545454
5;13,pre_2021,3,5.223370353546802,1.6666666666666667,0.6666666666666666
5;13;14,2021_plus,1,14.574038052181825,0.0,1.0
5;13;14;25;28;32;35,2021_plus,1,15.806181401722535,8.0,1.0
5;13;17;28;32,2021_plus,1,11.894165089855978,0.0,1.0
5;13;21,2021_plus,1,7.71639894286531,8.0,1.0
5;13;25;32;35,2021_plus,1,13.707419043023348,0.0,1.0
5;13;28;32,2021_plus,1,11.533523102304947,0.0,1.0
5;13;28;35,pre_2021,1,0.0,1.0,0.0
5;13;32,2021_plus,1,0.0,1.0,0.0
5;13;32,pre_2021,1,12.661841661919434,1.0,1.0
5;15,2021_plus,2,4.975728913923799,5.5,0.5
5;15;58,pre_2021,1,9.219918167628718,1.0,1.0
5;16,pre_2021,1,0.0,8.0,0.0
5;17,pre_2021,1,0.0,1.0,0.0
5;17;25;32,2021_plus,1,8.978594781651767,7.0,1.0
5;17;32,2021_plus,1,11.606485294115615,0.0,1.0
5;24,2021_plus,1,16.76377487667408,8.0,1.0
5;24;25;32,pre_2021,2,5.077975660036778,4.5,0.5
5;25,2021_plus,4,2.7644814993349156,4.5,0.25
5;25,pre_2021,3,0.0,2.0,0.0
5;25;26;27;32,2021_plus,1,0.0,8.0,0.0
5;25;28;32;33;34,2021_plus,2,9.43374239894144,4.0,1.0
5;25;32,2021_plus,2,5.671351963490936,1.0,0.5
5;25;32;33,2021_plus,1,0.0,8.0,0.0
5;25;35,2021_plus,1,10.86771996444934,2.0,1.0
5;32,2021_plus,25,6.44083741473168,4.28,0.6
5;32,pre_2021,5,9.573429706173297,2.8,1.0
5;32;33,2021_plus,1,12.321128024346978,2.0,1.0
5;32;33,pre_2021,1,11.388884136990887,7.0,1.0
5;32;33;34,pre_2021,1,11.973470899719908,2.0,1.0
5;33,2021_plus,2,11.169916378759112,4.0,1.0
5;33;34,2021_plus,1,9.258358304257996,8.0,1.0
5;35,2021_plus,2,0.0,1.0,0.0
5;6,2021_plus,20,3.500289159916453,4.35,0.35
5;6,pre_2021,6,3.89576481932378,3.0,0.3333333333333333
5;66,2021_plus,1,13.612956072333903,8.0,1.0
5;6;10;12,2021_plus,1,0.0,2.0,0.0
5;6;12,2021_plus,1,10.018583039803788,0.0,1.0
5;6;12;13,2021_plus,3,6.669212715687565,0.6666666666666666,0.6666666666666666
5;6;12;13,pre_2021,1,0.0,1.0,0.0
5;6;12;13;15,2021_plus,1,10.26543336930149,7.0,1.0
5;6;12;13;16;17,pre_2021,1,7.677334260126032,1.0,1.0
5;6;12;13;32,2021_plus,2,14.795600732521322,0.5,1.0
5;6;12;14,2021_plus,1,12.344844446513102,7.0,1.0
5;6;12;14;15,2021_plus,1,12.408986125233092,8.0,1.0
5;6;12;15;17,2021_plus,1,0.0,1.0,0.0
5;6;12;15;17,pre_2021,1,5.887888153243657,7.0,1.0
5;6;12;17,2021_plus,1,9.572321004140267,1.0,1.0
5;6;12;17;25,2021_plus,1,10.435322582460008,7.0,1.0
5;6;13,2021_plus,3,7.661606572950806,3.3333333333333335,1.0
5;6;13;21,2021_plus,1,9.258358304257996,8.0,1.0
5;6;13;25;32;44;46,2021_plus,1,0.0,3.0,0.0
5;6;14,2021_plus,1,0.0,8.0,0.0
5;6;14;15;17;21,2021_plus,1,10.22147368712466,4.0,1.0
5;6;14;34,2021_plus,1,13.191743248676195,0.0,1.0
5;6;15,2021_plus,1,0.0,8.0,0.0
5;6;15,pre_2021,1,0.0,8.0,1.0
5;6;17,2021_plus,1,0.0,7.0,0.0
5;6;24,2021_plus,1,0.0,3.0,0.0
5;6;28;29;32,2021_plus,1,0.0,0.0,0.0
5;6;32;33,2021_plus,1,13.362559454069794,2.0,1.0
5;6;34,2021_plus,1,11.289794413577894,0.0,1.0
5;6;7;12;13,2021_plus,1,11.364022447030372,6.0,1.0
5;6;7;12;15;17,2021_plus,1,7.270362381141019,8.0,1.0
5;6;7;12;15;24;28;31;58;130,2021_plus,1,11.51293546492023,8.0,1.0
5;6;7;21,2021_plus,1,10.102439770754941,8.0,1.0
5;6;7;9;12;13;14,2021_plus,1,9.061541799020478,2.0,1.0
5;6;9,2021_plus,4,2.6048326420284753,4.0,0.25
5;6;9,pre_2021,1,11.949178362299888,8.0,1.0
5;6;9;12,2021_plus,1,14.572415835475706,8.0,1.0
5;6;9;12,pre_2021,1,11.743052574378583,3.0,1.0
5;6;9;12;13;14,2021_plus,1,9.636458627284249,8.0,1.0
5;6;9;13,2021_plus,3,7.188330212465716,3.3333333333333335,0.6666666666666666
5;6;9;13,pre_2021,1,8.187974583506332,8.0,1.0
5;6;9;13;35,2021_plus,1,13.217675375388819,7.0,1.0
5;6;9;17;32,2021_plus,1,7.02369712496935,8.0,1.0
5;6;9;22,2021_plus,1,0.0,1.0,0.0
5;6;9;25,2021_plus,1,0.0,1.0,0.0
5;6;9;30;35,2021_plus,1,12.326320356693278,0.0,1.0
5;6;9;32,2021_plus,2,0.0,4.0,0.0
5;8;9,2021_plus,1,0.0,0.0,0.0
5;9,2021_plus,3,0.0,1.0,0.0
5;9;13;28,pre_2021,1,0.0,8.0,0.0
6,2021_plus,25,6.992379734782661,3.24,0.76
6,pre_2021,19,9.306289575424866,2.3157894736842106,0.9473684210526315
6;12;13,pre_2021,1,17.964929153187416,0.0,1.0
6;12;15,2021_plus,1,0.0,8.0,0.0
6;12;15;17,2021_plus,1,0.0,8.0,0.0
6;12;17,2021_plus,1,0.0,7.0,0.0
6;12;25,2021_plus,1,0.0,7.0,0.0
6;13,2021_plus,5,4.34553368308921,5.4,0.6
6;13,pre_2021,1,9.337690198025374,0.0,1.0
6;13;21,pre_2021,1,0.0,8.0,0.0
6;14,2021_plus,1,10.86771996444934,8.0,1.0
6;17;28,2021_plus,1,12.81045172363652,8.0,1.0
6;21,pre_2021,1,0.0,8.0,0.0
6;30,2021_plus,1,11.273178717941477,1.0,1.0
6;32,2021_plus,1,12.033447437422064,8.0,1.0
6;7;12,2021_plus,1,8.656134711190196,1.0,1.0
6;7;12;13;14,2021_plus,1,0.0,1.0,0.0
6;7;13;14,2021_plus,1,0.0,0.0,0.0
6;9,2021_plus,1,0.0,0.0,0.0
7,2021_plus,1,6.419148869362122,1.0,1.0
7,pre_2021,1,8.709158572877788,1.0,1.0
7;12;13;14;15;21;32,2021_plus,1,13.41973734195473,0.0,1.0
7;12;13;14;15;28;32;33,2021_plus,1,13.352609138946098,0.0,1.0
7;12;13;15;17;26,2021_plus,1,17.55231265197823,8.0,1.0
7;13,2021_plus,1,8.205551975809472,8.0,1.0
7;13,pre_2021,1,8.526870028956498,1.0,1.0
7;22,pre_2021,1,9.219918167628718,8.0,1.0
8,2021_plus,1,8.76188086612573,0.0,1.0
82,2021_plus,1,18.5142314753279,1.0,1.0
89;90;104,2021_plus,1,0.0,3.0,0.0
9,pre_2021,2,0.0,2.5,0.0
9;32,2021_plus,1,11.273178717941477,8.0,1.0
NONE,2021_plus,104,1.0732688972039435,1.3846153846153846,0.09615384615384616
NONE,pre_2021,167,0.49730845868320916,4.592814371257485,0.055900621118012424
