id,a1_country_code,a2_authority_name,a3_appellate_decision,a4_decision_year,a5_decision_month,a6_num_defendants,a7_defendant_name,a8_defendant_class,a9_enterprise_size,a10_gov_level,a11_defendant_role,a12_sector,a13_sector_other,a14_processing_contexts,a15_data_subject_complaint,a16_media_attention,a17_official_audit,a18_art33_discussed,a19_art33_breached,a20_breach_notification_effect,a53_fine_imposed,a54_fine_amount,a55_fine_currency,a71_first_violation,a72_cross_border_oss,a73_oss_role,a77_articles_breached
Spain_411,ES,Spanish Agency for Data Protection,NO,2020,0,1,"ORGANIC AND NATUR 03, S.L.",PRIVATE,SME,NOT_APPLICABLE,CONTROLLER,RETAIL,NOT_APPLICABLE,MARKETING;PROBLEMATIC_THIRD_PARTY_SHARING_STATED,NO,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,4000,EUR,NOT_DISCUSSED,NO,NOT_APPLICABLE,7;13
Spain_412,ES,Spanish Data Protection Agency,NO,2020,9,1,"VENU SANZ CHEF, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,DIGITAL_SERVICES,NOT_APPLICABLE,MARKETING;PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,1800,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_414,ES,Spanish Agency for Data Protection,NO,2021,0,1,EXTREMEÑO DE SALUD SERVICE,PUBLIC,NOT_APPLICABLE,MUNICIPAL,CONTROLLER,HEALTH,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5;32
Spain_415,ES,Spanish Agency for Data Protection,NO,2020,3,1,CONSEGURIDAD S.L.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,private;security,CCTV,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,50000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,37
Spain_416,ES,Spanish Agency for Data Protection,NO,2020,11,1,B.B.B.,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,HOUSING_TOURISM,NOT_APPLICABLE,CCTV,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,5000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_417,ES,Spanish Data Protection Agency,NO,2019,0,1,VOX ESPAÑA,OTHER,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,political_party;newsletter_subscribers,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,NO,YES,YES,YES,NOT_DISCUSSED,MITIGATING,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,32
Spain_418,ES,Spanish Data Protection Agency,NO,2020,11,1,Town Hall of Arroyomolinos,PUBLIC,NOT_APPLICABLE,MUNICIPAL,CONTROLLER,OTHER_PUBLIC_ADMIN,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,37
Spain_419,ES,Spanish Agency for Data Protection,NO,2021,10,1,"AUDAX RENOVABLES, S.A.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,UTILITIES,NOT_APPLICABLE,MARKETING,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,12000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_DISCUSSED
Spain_421,ES,Spanish Agency for Data Protection,NO,2020,11,1,RADIOTELEVISIÓN OF THE PRINCIPALITY OF ASTURIAS,PUBLIC,NOT_APPLICABLE,MUNICIPAL,CONTROLLER,MEDIA,NOT_APPLICABLE,CCTV;EMPLOYEE_MONITORING,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,20000,EUR,NOT_DISCUSSED,NO,NOT_APPLICABLE,5;12
Spain_422,ES,Spanish Agency for Data Protection,NO,2022,0,1,"Mederos Moviten, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,15000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
