currency,year,month,fx_to_eur,method
DKK,2016,0,0.1341,ANNUAL_AVG
DKK,2017,0,0.1341,ANNUAL_AVG
DKK,2018,0,0.1340,ANNUAL_AVG
DKK,2019,0,0.1340,ANNUAL_AVG
DKK,2020,0,0.1341,ANNUAL_AVG
DKK,2021,0,0.1344,ANNUAL_AVG
DKK,2022,0,0.1343,ANNUAL_AVG
DKK,2023,0,0.1341,ANNUAL_AVG
DKK,2024,0,0.1340,ANNUAL_AVG
DKK,2025,0,0.1340,ANNUAL_AVG
EUR,2016,0,1.0,ANNUAL_AVG
EUR,2017,0,1.0,ANNUAL_AVG
EUR,2018,0,1.0,ANNUAL_AVG
EUR,2019,0,1.0,ANNUAL_AVG
EUR,2020,0,1.0,ANNUAL_AVG
EUR,2021,0,1.0,ANNUAL_AVG
EUR,2022,0,1.0,ANNUAL_AVG
EUR,2023,0,1.0,ANNUAL_AVG
EUR,2024,0,1.0,ANNUAL_AVG
EUR,2025,0,1.0,ANNUAL_AVG
HUF,2016,0,0.00321,ANNUAL_AVG
HUF,2017,0,0.00323,ANNUAL_AVG
HUF,2018,0,0.00314,ANNUAL_AVG
HUF,2019,0,0.00307,ANNUAL_AVG
HUF,2020,0,0.00285,ANNUAL_AVG
HUF,2021,0,0.00279,ANNUAL_AVG
HUF,2022,0,0.00256,ANNUAL_AVG
HUF,2023,0,0.00262,ANNUAL_AVG
HUF,2024,0,0.00259,ANNUAL_AVG
HUF,2025,0,0.00256,ANNUAL_AVG
ISK,2016,0,0.00740,ANNUAL_AVG
ISK,2017,0,0.00810,ANNUAL_AVG
ISK,2018,0,0.00730,ANNUAL_AVG
ISK,2019,0,0.00720,ANNUAL_AVG
ISK,2020,0,0.00680,ANNUAL_AVG
ISK,2021,0,0.00660,ANNUAL_AVG
ISK,2022,0,0.00690,ANNUAL_AVG
ISK,2023,0,0.00670,ANNUAL_AVG
ISK,2024,0,0.00660,ANNUAL_AVG
ISK,2025,0,0.00670,ANNUAL_AVG
RON,2016,0,0.2230,ANNUAL_AVG
RON,2017,0,0.2190,ANNUAL_AVG
RON,2018,0,0.2150,ANNUAL_AVG
RON,2019,0,0.2110,ANNUAL_AVG
RON,2020,0,0.2060,ANNUAL_AVG
RON,2021,0,0.2030,ANNUAL_AVG
RON,2022,0,0.2020,ANNUAL_AVG
RON,2023,0,0.2020,ANNUAL_AVG
RON,2024,0,0.2010,ANNUAL_AVG
RON,2025,0,0.2010,ANNUAL_AVG
USD,2016,0,0.9030,ANNUAL_AVG
USD,2017,0,0.8850,ANNUAL_AVG
USD,2018,0,0.8470,ANNUAL_AVG
USD,2019,0,0.8940,ANNUAL_AVG
USD,2020,0,0.8760,ANNUAL_AVG
USD,2021,0,0.8460,ANNUAL_AVG
USD,2022,0,0.9490,ANNUAL_AVG
USD,2023,0,0.9250,ANNUAL_AVG
USD,2024,0,0.9340,ANNUAL_AVG
USD,2025,0,0.9260,ANNUAL_AVG
