:START_ID,:END_ID,:TYPE
Decision|Spain_411,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_412,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_414,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_415,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_416,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_417,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_418,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_419,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_421,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_422,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_423,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_424,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_427,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_428,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_429,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_430,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_431,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_432,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_433,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_434,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_435,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_436,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_437,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_438,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_439,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_440,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_441,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_443,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_444,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_445,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_446,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_449,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_450,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_451,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_452,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_453,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_454,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_455,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_456,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_457,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_458,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_459,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_460,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_461,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_462,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_463,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_464,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_465,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_466,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_467,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_469,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_470,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_471,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_472,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_473,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_474,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_476,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_477,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_478,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_479,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_480,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_481,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_482,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_483,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_484,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_485,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_486,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_488,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_490,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_492,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_493,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_494,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_495,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_496,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_497,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_498,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_499,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_500,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_501,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_502,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_503,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_504,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_505,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_506,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_507,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_508,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_509,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_510,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_511,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_513,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_514,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_515,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_516,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_517,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_518,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_519,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_520,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_522,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_523,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_524,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_525,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_526,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_527,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_529,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_530,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_532,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_533,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_534,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_535,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_536,Authority|SPANISH_DATA_PROTECTION_AGENCY,ISSUED_BY
Decision|Spain_537,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
Decision|Spain_539,Authority|SPANISH_AGENCY_FOR_DATA_PROTECTION,ISSUED_BY
